N	Total Time	Average CPE
360	4920	13.67
361	4923	13.64
362	4933	13.63
363	4958	13.66
364	4967	13.65
365	4957	13.58
366	4983	13.61
367	5002	13.63
368	5016	13.63
369	5036	13.65
370	5057	13.67
371	5059	13.64
372	5054	13.59
373	5077	13.61
374	5169	13.82
375	5840	15.57
376	5130	13.64
377	5151	13.66
378	5157	13.64
379	5174	13.65
380	5157	13.57
381	5193	13.63
382	5206	13.63
383	5217	13.62
384	5225	13.61
385	5246	13.63
386	5251	13.60
387	5273	13.63
388	5279	13.61
389	5296	13.61
390	5308	13.61
391	5324	13.62
392	5337	13.61
393	5340	13.59
394	5375	13.64
395	5388	13.64
396	5400	13.64
397	5416	13.64
398	5420	13.62
399	5431	13.61
400	5521	13.80
401	5457	13.61
402	5483	13.64
403	5494	13.63
404	5493	13.60
405	5535	13.67
406	5535	13.63
407	5542	13.62
408	5550	13.60
409	5650	13.81
410	5588	13.63
411	5598	13.62
412	5610	13.62
413	5622	13.61
414	5642	13.63
415	5654	13.62
416	5675	13.64
417	5677	13.61
418	5690	13.61
419	5708	13.62
420	5715	13.61
421	5743	13.64
422	5742	13.61
423	5752	13.60
424	8723	20.57
425	5843	13.75
426	5813	13.65
427	5806	13.60
428	5841	13.65
429	5851	13.64
430	5860	13.63
431	5866	13.61
432	5892	13.64
433	5898	13.62
434	5910	13.62
435	5931	13.63
436	5941	13.63
437	5948	13.61
438	5971	13.63
439	5977	13.62
440	6000	13.64
441	6070	13.76
442	6023	13.63
443	6036	13.63
444	6048	13.62
445	6065	13.63
446	6065	13.60
447	6097	13.64
448	6106	13.63
449	6129	13.65
450	6127	13.62
451	6150	13.64
452	6165	13.64
453	6173	13.63
454	6178	13.61
455	6204	13.64
456	7520	16.49
457	6243	13.66
458	6240	13.62
459	6271	13.66
460	6259	13.61
461	6288	13.64
462	7111	15.39
463	6310	13.63
464	6310	13.60
465	6332	13.62
466	6351	13.63
467	6357	13.61
468	6366	13.60
469	6398	13.64
470	6455	13.73
471	6413	13.62
472	6436	13.64
473	6441	13.62
474	6468	13.65
475	6469	13.62
476	6478	13.61
477	6500	13.63
478	6499	13.60
479	6530	13.63
480	6534	13.61
481	6548	13.61
482	6569	13.63
483	6578	13.62
484	6585	13.61
485	7334	15.12
486	6620	13.62
487	6633	13.62
488	6637	13.60
489	6691	13.68
490	6696	13.67
491	6729	13.70
492	7655	15.56
493	7785	15.79
494	6904	13.98
495	7583	15.32
496	6805	13.72
497	6828	13.74
498	7763	15.59
499	7076	14.18
500	9497	18.99
501	7271	14.51
502	8724	17.38
503	9276	18.44
504	6940	13.77
505	6876	13.62
506	6881	13.60
507	6895	13.60
508	6942	13.67
509	7971	15.66
510	7418	14.55
511	7876	15.41
512	6961	13.60
513	6995	13.64
514	7016	13.65
515	7013	13.62
516	7024	13.61
517	7030	13.60
518	7043	13.60
519	7054	13.59
520	7065	13.59
521	7092	13.61
522	7188	13.77
523	7119	13.61
524	7124	13.60
525	7141	13.60
526	7164	13.62
527	7157	13.58
528	7178	13.59
529	7192	13.60
530	7204	13.59
531	7224	13.60
532	7227	13.58
533	7257	13.62
534	7267	13.61
535	7283	13.61
536	7279	13.58
537	7310	13.61
538	7308	13.58
539	7331	13.60
540	7344	13.60
541	7381	13.64
542	7359	13.58
543	7385	13.60
544	7394	13.59
545	7397	13.57
546	7431	13.61
547	7441	13.60
548	7459	13.61
549	7557	13.77
550	7494	13.63
551	7500	13.61
552	7524	13.63
553	7518	13.59
554	7536	13.60
555	7551	13.61
556	7544	13.57
557	7586	13.62
558	7567	13.56
559	7605	13.60
560	7611	13.59
561	7641	13.62
562	7648	13.61
563	7651	13.59
564	7673	13.60
565	7693	13.62
566	7690	13.59
567	7707	13.59
568	7788	13.71
569	7732	13.59
570	7834	13.74
571	7769	13.61
572	7776	13.59
573	7787	13.59
574	9997	17.42
575	7799	13.56
576	7811	13.56
577	7843	13.59
578	7852	13.58
579	7878	13.61
580	7945	13.70
581	8681	14.94
582	9449	16.24
583	9305	15.96
584	8736	14.96
585	7984	13.65
586	7967	13.60
587	8011	13.65
588	8007	13.62
589	8085	13.73
590	8032	13.61
591	8045	13.61
592	9343	15.78
593	8049	13.57
594	8080	13.60
595	8106	13.62
596	8110	13.61
597	10170	17.04
598	8123	13.58
599	8136	13.58
600	10073	16.79
601	8187	13.62
602	8167	13.57
603	8196	13.59
604	8205	13.58
605	8291	13.70
606	11282	18.62
607	11609	19.13
608	8265	13.59
609	8268	13.58
610	8335	13.66
611	9529	15.60
612	8316	13.59
613	8329	13.59
614	8347	13.59
615	8344	13.57
616	8354	13.56
617	8379	13.58
618	8385	13.57
619	8414	13.59
620	8418	13.58
621	8442	13.59
622	8526	13.71
623	8453	13.57
624	8540	13.69
625	8474	13.56
626	8496	13.57
627	8515	13.58
628	8523	13.57
629	8555	13.60
630	8553	13.58
631	8575	13.59
632	8594	13.60
633	8592	13.57
634	8601	13.57
635	8629	13.59
636	8644	13.59
637	8666	13.60
638	8662	13.58
639	8681	13.59
640	8681	13.56
641	8783	13.70
642	8727	13.59
643	8734	13.58
644	8745	13.58
645	8767	13.59
646	8763	13.57
647	8794	13.59
648	8787	13.56
649	8812	13.58
650	8821	13.57
651	8870	13.63
652	8851	13.58
653	8875	13.59
654	8877	13.57
655	8956	13.67
656	8908	13.58
657	8999	13.70
658	8999	13.68
659	8948	13.58
660	8962	13.58
661	8970	13.57
662	9014	13.62
663	9021	13.61
664	9035	13.61
665	11406	17.15
666	9107	13.67
667	9039	13.55
668	9069	13.58
669	9078	13.57
670	9093	13.57
671	9117	13.59
672	9130	13.59
673	9142	13.58
674	9131	13.55
675	9164	13.58
676	9191	13.60
677	9179	13.56
678	9197	13.56
679	9222	13.58
680	9219	13.56
681	9260	13.60
682	9240	13.55
683	9277	13.58
684	9291	13.58
685	9292	13.56
686	9385	13.68
687	9328	13.58
688	9330	13.56
689	9341	13.56
690	9355	13.56
691	9373	13.56
692	9390	13.57
693	9404	13.57
694	9433	13.59
695	9424	13.56
696	9439	13.56
697	9469	13.59
698	9481	13.58
699	9481	13.56
700	9505	13.58
701	9594	13.69
702	9515	13.55
703	9536	13.56
704	9556	13.57
705	9561	13.56
706	9574	13.56
707	9596	13.57
708	9601	13.56
709	9637	13.59
710	9647	13.59
711	9628	13.54
712	9666	13.58
713	9681	13.58
714	9683	13.56
715	9695	13.56
716	9717	13.57
717	9737	13.58
718	9812	13.67
719	9767	13.58
720	9765	13.56
721	9784	13.57
722	9813	13.59
723	9802	13.56
724	9826	13.57
725	9822	13.55
726	9845	13.56
727	9857	13.56
728	9867	13.55
729	9895	13.57
730	9901	13.56
731	9920	13.57
732	10009	13.67
733	9960	13.59
734	9952	13.56
735	9959	13.55
736	9994	13.58
737	9998	13.57
738	10001	13.55
739	10029	13.57
740	10027	13.55
741	10048	13.56
742	10049	13.54
743	10070	13.55
744	10079	13.55
745	10121	13.59
746	10128	13.58
747	10137	13.57
748	10144	13.56
749	10174	13.58
750	10173	13.56
751	10187	13.56
752	10207	13.57
753	10207	13.56
754	10233	13.57
755	10239	13.56
756	10247	13.55
757	10266	13.56
758	10345	13.65
759	10308	13.58
760	10298	13.55
761	10338	13.58
762	11602	15.23
763	10360	13.58
764	10385	13.59
765	10390	13.58
766	10378	13.55
767	10398	13.56
768	10410	13.55
769	10420	13.55
770	10434	13.55
771	10458	13.56
772	10453	13.54
773	10477	13.55
774	10510	13.58
775	10517	13.57
776	10519	13.56
777	10533	13.56
778	10555	13.57
779	10571	13.57
780	10548	13.52
781	10589	13.56
782	10617	13.58
783	10614	13.56
784	10621	13.55
785	10729	13.67
786	10659	13.56
787	10682	13.57
788	10682	13.56
789	10699	13.56
790	10717	13.57
791	10721	13.55
792	10737	13.56
793	10754	13.56
794	10780	13.58
795	10786	13.57
796	10795	13.56
797	10809	13.56
798	10820	13.56
799	10815	13.54
800	10829	13.54
801	10851	13.55
802	10867	13.55
803	10893	13.57
804	10900	13.56
805	10921	13.57
806	10924	13.55
807	10951	13.57
808	10957	13.56
809	10965	13.55
810	10980	13.56
811	11061	13.64
812	11012	13.56
813	11097	13.65
814	11026	13.55
815	11039	13.54
816	11068	13.56
817	11081	13.56
818	11097	13.57
819	11098	13.55
820	11107	13.55
821	11125	13.55
822	11150	13.56
823	11157	13.56
824	11151	13.53
825	11615	14.08
826	10997	13.31
827	10932	13.22
828	10952	13.23
829	10956	13.22
830	10982	13.23
831	11003	13.24
832	11013	13.24
833	11016	13.22
834	11878	14.24
835	11071	13.26
836	11060	13.23
837	11056	13.21
838	11073	13.21
839	11097	13.23
840	11119	13.24
841	11117	13.22
842	11143	13.23
843	11144	13.22
844	12046	14.27
845	11196	13.25
846	11201	13.24
847	11232	13.26
848	12879	15.19
849	11317	13.33
850	12098	14.23
851	13832	16.25
852	11262	13.22
853	11297	13.24
854	11276	13.20
855	11311	13.23
856	11323	13.23
857	11336	13.23
858	11349	13.23
859	11360	13.22
860	11379	13.23
861	11387	13.23
862	11400	13.23
863	11427	13.24
864	11418	13.22
865	12154	14.05
866	11455	13.23
867	12421	14.33
868	11488	13.24
869	11502	13.24
870	11504	13.22
871	11530	13.24
872	11555	13.25
873	11548	13.23
874	11564	13.23
875	11570	13.22
876	11581	13.22
877	11616	13.25
878	11617	13.23
879	11634	13.24
880	11637	13.22
881	11670	13.25
882	11671	13.23
883	11671	13.22
884	11706	13.24
885	11721	13.24
886	11722	13.23
887	11743	13.24
888	11748	13.23
889	11797	13.27
890	11781	13.24
891	11780	13.22
892	11805	13.23
893	11809	13.22
894	11837	13.24
895	11840	13.23
896	11854	13.23
897	12676	14.13
898	11892	13.24
899	11954	13.30
900	12633	14.04
901	11930	13.24
902	11918	13.21
903	11946	13.23
904	11970	13.24
905	13191	14.58
